Country,Total cases,New cases,Total deaths,New deaths,Total recovered,Active cases,Critical cases,Cases/1M pop,Deaths/1M pop,First reported,Lon,Lat
USA,175669.0,11881.0,3424.0,283.0,6241.0,166004.0,3893.0,531.0,10,Jan 20,-100.4458825,39.7837304
Italy,105792.0,4053.0,12428.0,837.0,15729.0,77635.0,4023.0,1750.0,206,Jan 29,12.674297,42.6384261
Spain,94417.0,6461.0,8269.0,553.0,19259.0,66889.0,5607.0,2019.0,177,Jan 30,-4.8380649,39.3262345
Germany,68180.0,1295.0,682.0,37.0,15824.0,51674.0,1979.0,814.0,8,Jan 26,10.4234469,51.0834196
Iran,44605.0,3110.0,2898.0,141.0,14656.0,27051.0,3703.0,531.0,35,Feb 18,54.5643516,32.6475314
France,44550.0,NaN,3024.0,NaN,7927.0,33599.0,5056.0,683.0,46,Jan 23,1.8883335,46.603354
UK,25150.0,3009.0,1789.0,381.0,135.0,23226.0,163.0,370.0,26,Jan 30,-3.2765753,54.7023545
Switzerland,16186.0,264.0,395.0,36.0,1823.0,13968.0,301.0,1870.0,46,Feb 24,8.2319736,46.7985624
Belgium,12775.0,876.0,705.0,192.0,1696.0,10374.0,1021.0,1102.0,61,Feb 03,4.6667145,50.6402809
Netherlands,12595.0,845.0,1039.0,175.0,250.0,11306.0,1053.0,735.0,61,Feb 26,5.7480821,52.5001698
Turkey,10827.0,NaN,168.0,NaN,162.0,10497.0,568.0,128.0,2,Mar 09,34.9249653,38.9597594
Austria,10088.0,470.0,128.0,20.0,1095.0,8865.0,198.0,1120.0,14,Feb 24,13.199959,47.2000338
S. Korea,9786.0,125.0,162.0,4.0,5408.0,4216.0,55.0,191.0,3,Jan 19,127.6961188,36.638392
Canada,7474.0,26.0,92.0,3.0,1114.0,6268.0,120.0,198.0,2,Jan 24,-107.9917071,61.0666922
Portugal,7443.0,1035.0,160.0,20.0,43.0,7240.0,188.0,730.0,16,Mar 01,-7.8896263,40.0332629
Israel,4831.0,136.0,17.0,1.0,163.0,4651.0,83.0,558.0,2,Feb 20,34.8667654,31.5313113
Brazil,4685.0,55.0,168.0,5.0,127.0,4390.0,296.0,22.0,0.8,Feb 24,-53.2,-10.3333333
Norway,4605.0,160.0,36.0,4.0,13.0,4556.0,97.0,849.0,7,Feb 25,9.0999715,60.5000209
Australia,4561.0,101.0,19.0,NaN,337.0,4205.0,28.0,179.0,0.7,Jan 24,134.755,-24.7761086
Sweden,4435.0,407.0,180.0,34.0,16.0,4239.0,358.0,439.0,18,Jan 30,14.5208584,59.6749712
Czechia,3138.0,137.0,25.0,2.0,25.0,3088.0,64.0,293.0,2,Feb 29,15.4749544,49.8167003
Ireland,2910.0,NaN,54.0,NaN,5.0,2851.0,103.0,589.0,11,Feb 28,-7.9794599,52.865196
Denmark,2860.0,283.0,90.0,13.0,1.0,2769.0,145.0,494.0,16,Feb 26,10.3333283,55.670249
Malaysia,2766.0,140.0,43.0,6.0,537.0,2186.0,94.0,85.0,1,Jan 24,102.2656823,4.5693754
Chile,2738.0,289.0,12.0,4.0,156.0,2570.0,14.0,143.0,0.6,Mar 02,-71.3187697,-31.7613365
Russia,2337.0,501.0,17.0,8.0,121.0,2199.0,8.0,16.0,0.1,Jan 30,97.7453061,64.6863136
Romania,2245.0,136.0,78.0,13.0,220.0,1947.0,62.0,117.0,4,Feb 25,24.6859225,45.9852129
Poland,2215.0,160.0,32.0,1.0,7.0,2176.0,50.0,59.0,0.8,Mar 03,19.134422,52.215933
Luxembourg,2178.0,190.0,23.0,1.0,80.0,2075.0,31.0,3479.0,37,Feb 28,6.1296751,49.8158683
Philippines,2084.0,538.0,88.0,10.0,49.0,1947.0,1.0,19.0,0.8,Jan 29,122.7312101,12.7503486
Ecuador,1966.0,NaN,62.0,NaN,54.0,1850.0,58.0,111.0,4,Feb 28,-79.3666965,-1.3397668
Japan,1953.0,NaN,56.0,NaN,424.0,1473.0,56.0,15.0,0.4,Jan 14,139.2394179,36.5748441
Pakistan,1914.0,197.0,26.0,5.0,76.0,1812.0,12.0,9.0,0.1,Feb 25,71.247499,30.3308401
Thailand,1651.0,127.0,10.0,1.0,342.0,1299.0,23.0,24.0,0.1,Jan 12,100.83273,14.8971921
Saudi Arabia,1563.0,110.0,10.0,2.0,165.0,1388.0,31.0,45.0,0.3,Mar 01,42.3528328,25.6242618
Indonesia,1528.0,114.0,136.0,14.0,81.0,1311.0,NaN,6.0,0.5,Mar 01,117.8902853,-2.4833826
Finland,1418.0,66.0,17.0,4.0,10.0,1391.0,56.0,256.0,3,Jan 28,25.9209164,63.2467777
South Africa,1353.0,27.0,3.0,NaN,31.0,1319.0,7.0,23.0,0.05,Mar 04,24.991639,-28.8166236
Greece,1314.0,102.0,49.0,3.0,52.0,1213.0,72.0,126.0,5,Feb 25,21.9877132,38.9953683
India,1251.0,NaN,32.0,NaN,102.0,1117.0,NaN,0.9,0.02,Jan 29,78.6677428,22.3511148
Iceland,1135.0,49.0,2.0,NaN,198.0,935.0,11.0,3326.0,6,Feb 27,-18.1059013,64.9841821
Dominican Republic,1109.0,208.0,51.0,9.0,5.0,1053.0,NaN,102.0,5,Feb 29,-70.3028026,19.0974031
Mexico,1094.0,101.0,28.0,8.0,35.0,1031.0,1.0,8.0,0.2,Feb 27,-99.1331785,19.4326296
Panama,1075.0,NaN,27.0,NaN,9.0,1039.0,43.0,249.0,6,Mar 09,-81.1308434,8.559559
Argentina,966.0,146.0,26.0,3.0,240.0,700.0,NaN,21.0,0.6,Mar 02,-64.9672817,-34.9964963
Peru,950.0,NaN,24.0,NaN,53.0,873.0,49.0,29.0,0.7,Mar 05,-75.0458515,-6.8699697
